date,open,high,low,close,volume,amount,turnover_rate
2024-01-04,41.56,41.62,40.54,40.72,160878,657625932.15,1.33
2024-01-05,41.52,43.66,40.35,41.98,502631,2137063704.9,4.16
2024-01-08,41.65,43.78,41.56,42.67,478113,2059516386.77,3.96
2024-01-09,42.67,43.5,41.45,43.28,427303,1827148983.85,3.54
2024-01-10,43.2,44.38,42.38,42.87,471257,2051871608.79,3.9
2024-01-11,42.5,45.62,42.32,44.52,623302,2745690902.16,5.16
2024-01-12,44.18,44.58,43.34,43.48,419114,1840519999.03,3.47
2024-01-15,43.04,43.46,42.3,42.4,260737,1114330780.57,2.16
2024-01-16,42.24,42.9,41.96,42.54,248512,1055338677.24,2.06
2024-01-17,42.54,42.54,41.0,41.09,252814,1051045164.61,2.09
2024-01-18,40.81,42.25,40.63,42.2,290035,1203246948.46,2.4
2024-01-19,42.21,43.38,41.51,41.52,285222,1205688789.43,2.36
2024-01-22,41.1,41.47,39.68,39.92,340427,1376812795.14,2.82
2024-01-23,39.92,40.9,39.43,40.15,207628,836625583.9,1.72
2024-01-24,40.33,40.6,38.54,39.98,270136,1065696928.8,2.23
2024-01-25,39.66,40.83,39.27,40.61,248509,998643017.98,2.06
2024-01-26,40.08,40.88,39.81,39.81,207620,833545458.93,1.72
2024-01-29,40.0,40.01,37.82,37.82,287034,1103515525.47,2.37
2024-01-30,37.4,38.14,36.96,36.96,173254,650988705.11,1.43
2024-01-31,36.0,36.49,33.91,34.03,389099,1357445428.77,3.22
2024-02-01,33.81,35.38,33.68,34.64,248988,861417418.26,2.06
2024-02-02,34.78,35.1,32.01,33.16,273988,917497980.03,2.27
2024-02-05,32.87,33.28,30.8,31.62,285346,915892473.3,2.36
2024-02-06,31.6,34.14,31.33,34.1,292213,968791347.07,2.42
2024-02-07,34.28,34.97,33.56,33.9,292247,1001711486.25,2.42
2024-02-08,34.06,35.15,33.92,34.87,269944,936160217.0,2.23
2024-02-19,34.99,35.59,34.6,35.18,213058,746452760.68,1.76
2024-02-20,34.91,35.48,34.38,35.44,194075,678547257.32,1.61
2024-02-21,35.01,37.01,34.83,36.15,314331,1138097882.24,2.6
2024-02-22,35.68,36.29,35.58,36.09,169960,610183166.43,1.41
2024-02-23,36.17,36.76,35.88,36.54,212422,771006293.47,1.76
2024-02-26,36.55,37.3,36.43,36.75,251615,927917075.75,2.08
2024-02-27,36.47,37.43,36.4,37.42,214849,794787554.4,1.78
2024-02-28,38.0,39.67,37.4,37.43,524085,2030356404.39,4.34
2024-02-29,37.44,40.37,37.44,40.05,524995,2053564547.95,4.34
2024-03-01,39.98,40.62,39.66,40.16,314730,1262946914.93,2.6
2024-03-04,40.43,41.35,39.71,40.02,361729,1460944391.89,2.99
2024-03-05,39.5,39.57,38.5,38.69,289938,1127935469.32,2.4
2024-03-06,38.27,39.01,37.95,38.49,215003,826610871.91,1.78
2024-03-07,38.79,39.1,37.8,37.83,221647,852042442.79,1.83
2024-03-08,37.82,38.5,37.4,37.76,191186,722822801.29,1.58
2024-03-11,38.25,40.68,38.25,40.48,500517,1986250248.17,4.14
2024-03-12,41.38,41.6,40.08,40.55,368945,1502584004.32,3.05
2024-03-13,40.6,40.89,39.93,40.16,214535,862852668.21,1.77
2024-03-14,40.01,40.68,39.13,39.41,262197,1045179982.95,2.17
2024-03-15,39.3,39.93,38.54,39.59,259784,1017448134.64,2.15
2024-03-18,39.99,40.35,39.55,40.01,246361,983331540.24,2.04
2024-03-19,39.86,40.24,39.5,39.5,182223,725699536.85,1.51
2024-03-20,39.5,39.85,39.21,39.59,141652,558952735.47,1.17
2024-03-21,39.72,39.85,39.06,39.21,133523,526201017.62,1.1
2024-03-22,39.0,39.2,37.57,37.58,270099,1026138612.32,2.23
2024-03-25,37.5,37.53,36.58,36.59,173808,643323667.17,1.44
2024-03-26,36.69,37.49,36.16,37.13,207262,764381996.97,1.71
2024-03-27,37.0,37.0,35.74,35.76,161605,587211641.03,1.34
2024-03-28,35.76,36.51,35.76,35.93,144162,520250412.25,1.19
2024-03-29,35.77,36.85,35.7,36.36,143643,522604065.97,1.19
2024-04-01,36.44,39.43,36.44,39.37,518211,2006937223.53,4.29
2024-04-02,39.37,39.9,38.88,39.62,374193,1475812328.94,3.1
2024-04-03,39.56,40.3,39.03,39.89,379781,1511687025.35,3.14
2024-04-08,39.0,40.48,38.78,39.11,342905,1358101117.12,2.84
2024-04-09,39.11,41.56,39.01,41.45,629584,2568245031.22,5.21
2024-04-10,41.7,41.8,40.2,40.39,352764,1433972016.26,2.92
2024-04-11,39.9,40.41,39.21,39.73,278243,1106242770.6,2.3
2024-04-12,39.41,39.86,38.53,38.6,266036,1040066353.04,2.2
2024-04-15,38.35,39.69,37.91,38.77,248517,961119639.93,2.06
2024-04-16,38.44,38.5,36.6,36.65,268769,1003731749.58,2.22
2024-04-17,37.0,37.87,36.8,37.58,234694,876342755.76,1.94
2024-04-18,37.4,38.36,36.76,37.79,246876,933085503.11,2.04
2024-04-19,37.4,37.51,36.51,36.9,206966,763957496.19,1.71
2024-04-22,36.57,37.73,36.1,36.4,172189,630072134.07,1.42
2024-04-23,36.41,36.5,35.5,35.76,191251,685794380.53,1.58
2024-04-24,33.8,34.38,33.0,33.36,443112,1480101949.29,3.67
2024-04-25,33.19,34.72,33.13,34.03,296547,1008182784.33,2.45
2024-04-26,33.76,34.48,33.7,34.3,213819,730548696.95,1.77
2024-04-29,34.35,36.8,34.33,36.59,376204,1353137778.69,3.11
2024-04-30,36.49,36.98,35.26,35.26,275180,983699999.54,2.28
2024-05-06,36.45,36.83,36.1,36.37,250737,913720425.46,2.07
2024-05-07,36.4,36.68,36.2,36.6,156069,568725245.57,1.29
2024-05-08,36.73,36.73,35.78,35.83,135712,489311140.24,1.12
2024-05-09,36.18,37.72,36.18,37.24,323249,1201166144.77,2.67
2024-05-10,37.3,37.32,36.39,36.65,175789,644241425.68,1.45
2024-05-13,36.0,36.03,35.3,35.58,152956,546079123.13,1.27
2024-05-14,35.79,36.05,35.31,35.46,123490,439269904.07,1.02
2024-05-15,35.35,35.78,34.92,34.95,113259,398075662.58,0.94
2024-05-16,34.95,35.2,34.51,34.55,149677,519352640.02,1.24
2024-05-17,34.63,35.16,33.9,35.16,161633,559871029.53,1.34
2024-05-20,35.3,35.9,35.18,35.44,174174,618334235.02,1.44
2024-05-21,35.4,35.41,34.59,34.85,129728,452087776.03,1.07
2024-05-22,34.84,35.64,34.71,35.48,198219,698372753.2,1.64
2024-05-23,35.13,35.14,34.16,34.25,200079,689342210.0,1.66
2024-05-24,34.11,34.33,33.8,33.8,127401,433149235.23,1.05
2024-05-27,33.86,34.02,33.2,33.9,118757,398049589.79,0.98
2024-05-28,33.89,34.15,33.38,33.54,100935,339927941.1,0.84
2024-05-29,33.47,34.49,33.31,34.02,151649,517664687.56,1.25
2024-05-30,34.33,34.85,34.04,34.13,155437,533213563.44,1.29
2024-05-31,34.2,34.28,33.63,33.63,118786,402317046.11,0.98
